date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:08:43	178864/178864	---M-Z	200	added ('OK')	text/html	date:Sun,%2001%20May%202022%2015:47:34%20GMT	https://nextformation.com/fiches-metiers/fiche-metier-administrateur-systeme-et-reseaux	/home/zorome/My%20Web%20Sites/MON%20CV/nextformation.com/fiches-metiers/fiche-metier-administrateur-systeme-et-reseaux.html	(from )
00:08:46	162/162	---M-Z	200	added ('OK')	text/plain	date:Sun,%2001%20May%202022%2022:08:45%20GMT	https://nextformation.com/robots.txt		(from )
00:08:48	445163/445163	---M-Z	200	added ('OK')	text/css	date:Thu,%2014%20Apr%202022%2011:38:33%20GMT	https://nextformation.com/app/cache/min/1/app/themes/nextformation/dist/styles/main_f7423051.css?ver=1649936313	/home/zorome/My%20Web%20Sites/MON%20CV/nextformation.com/app/cache/min/1/app/themes/nextformation/dist/styles/main_f7423051d665.css	(from https://nextformation.com/fiches-metiers/fiche-metier-administrateur-systeme-et-reseaux)
00:08:49	662/662	---M--	200	added ('OK')	image/png	date:Mon,%2011%20Apr%202022%2020:49:18%20GMT	https://nextformation.com/app/plugins/wp-rocket/assets/img/youtube.png	/home/zorome/My%20Web%20Sites/MON%20CV/nextformation.com/app/plugins/wp-rocket/assets/img/youtube.png	(from https://nextformation.com/fiches-metiers/fiche-metier-administrateur-systeme-et-reseaux)
00:08:51	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2001%20May%202022%2022:08:50%20GMT	https://nextformation.com/?p=4771	/home/zorome/My%20Web%20Sites/MON%20CV/nextformation.com/index312e.html	(from https://nextformation.com/fiches-metiers/fiche-metier-administrateur-systeme-et-reseaux)
00:08:51	901/901	---MCZ	200	added ('OK')	text/javascript	date:Sun,%2001%20May%202022%2022:08:51%20GMT	https://www.google.com/recaptcha/api.js?render=explicit	/home/zorome/My%20Web%20Sites/MON%20CV/www.google.com/recaptcha/apib091.js	(from https://nextformation.com/fiches-metiers/fiche-metier-administrateur-systeme-et-reseaux)
00:08:51	2166/2166	---M--	200	added ('OK')	image/png	date:Mon,%2022%20Mar%202021%2014:44:17%20GMT	https://nextformation.com/app/uploads/2021/03/favicon.png	/home/zorome/My%20Web%20Sites/MON%20CV/nextformation.com/app/uploads/2021/03/favicon.png	(from https://nextformation.com/fiches-metiers/fiche-metier-administrateur-systeme-et-reseaux)
00:08:52	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2001%20May%202022%2022:08:52%20GMT	http://widget.trustpilot.com/bootstrap/v5/tp.widget.bootstrap.min.js	/home/zorome/My%20Web%20Sites/MON%20CV/widget.trustpilot.com/bootstrap/v5/tp.widget.bootstrap.min.5.delayed	(from https://nextformation.com/fiches-metiers/fiche-metier-administrateur-systeme-et-reseaux)
00:08:54	19173/19173	---M-Z	200	added ('OK')	application/x-javascript	etag:%227994b24c56b0cf0251f3a2dd842273be%22	https://widget.trustpilot.com/bootstrap/v5/tp.widget.bootstrap.min.js	/home/zorome/My%20Web%20Sites/MON%20CV/widget.trustpilot.com/bootstrap/v5/tp.widget.bootstrap.min.js	(from https://nextformation.com/fiches-metiers/fiche-metier-administrateur-systeme-et-reseaux)
00:08:55	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2001%20May%202022%2022:08:54%20GMT	https://nextformation.com/fiches-metiers/'https://nextformation.com/app/uploads/2021/05/nf-fp-powerpoint-bandeau-u7365l-1600x365.png'	/home/zorome/My%20Web%20Sites/MON%20CV/nextformation.com/fiches-metiers/'https_/nextformation.com/app/uploads/2021/05/nf-fp-powerpoint-bandeau-u7365l-1600x365.png'	(from https://nextformation.com/fiches-metiers/fiche-metier-administrateur-systeme-et-reseaux)
00:08:55	130370/130370	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2001%20May%202022%2022:08:55%20GMT	https://nextformation.com/fiches-metiers/https:/nextformation.com/app/uploads/2021/05/nf-fp-powerpoint-bandeau-u7365l-1600x365.png	/home/zorome/My%20Web%20Sites/MON%20CV/nextformation.com/fiches-metiers/https_/nextformation.com/app/uploads/2021/05/nf-fp-powerpoint-bandeau-u7365l-1600x365.png	(from https://nextformation.com/fiches-metiers/fiche-metier-administrateur-systeme-et-reseaux)
00:08:56	176826/176826	---M-Z	200	added ('OK')	text/html	date:Sun,%2001%20May%202022%2017:47:25%20GMT	https://nextformation.com/fiches-metiers/fiche-metier-developpeur-web	/home/zorome/My%20Web%20Sites/MON%20CV/nextformation.com/fiches-metiers/fiche-metier-developpeur-web.html	(from https://nextformation.com/fiches-metiers/fiche-metier-administrateur-systeme-et-reseaux)
00:08:57	178675/178675	---M-Z	200	added ('OK')	text/html	date:Sun,%2001%20May%202022%2015:47:31%20GMT	https://nextformation.com/fiches-metiers/technicien-assistant-informatique	/home/zorome/My%20Web%20Sites/MON%20CV/nextformation.com/fiches-metiers/technicien-assistant-informatique.html	(from https://nextformation.com/fiches-metiers/fiche-metier-administrateur-systeme-et-reseaux)
00:08:58	178109/178109	---M-Z	200	added ('OK')	text/html	date:Sun,%2001%20May%202022%2015:47:30%20GMT	https://nextformation.com/fiches-metiers/technicien-systemes-reseaux	/home/zorome/My%20Web%20Sites/MON%20CV/nextformation.com/fiches-metiers/technicien-systemes-reseaux.html	(from https://nextformation.com/fiches-metiers/fiche-metier-administrateur-systeme-et-reseaux)
00:09:00	268907/268907	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2014%20Apr%202022%2011:37:59%20GMT	https://nextformation.com/app/themes/nextformation/dist/scripts/main_f7423051.js	/home/zorome/My%20Web%20Sites/MON%20CV/nextformation.com/app/themes/nextformation/dist/scripts/main_f7423051.js	(from https://nextformation.com/fiches-metiers/fiche-metier-administrateur-systeme-et-reseaux)
00:09:01	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2001%20May%202022%2022:09:01%20GMT	https://nextformation.com/fiches-metiers/'https://nextformation.com/app/uploads/2021/05/nf-fp-info-ais-bandeau-qnpiau-1600x365.png'	/home/zorome/My%20Web%20Sites/MON%20CV/nextformation.com/fiches-metiers/'https_/nextformation.com/app/uploads/2021/05/nf-fp-info-ais-bandeau-qnpiau-1600x365.d.delayed	(from https://nextformation.com/fiches-metiers/fiche-metier-developpeur-web)
00:09:01	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2001%20May%202022%2022:09:01%20GMT	https://nextformation.com/?p=4750	/home/zorome/My%20Web%20Sites/MON%20CV/nextformation.com/indexf07a.html	(from https://nextformation.com/fiches-metiers/fiche-metier-developpeur-web)
